Kraj_ID,Kraj,Věková kategorie,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CZ020,Středočeský kraj,Celá populace,15.0,9.0,7.0,4.0,5.0,8.0,19.0,5.0,,10.0,,8.0,1.0,4.0,7.0,8.0,8.0,10.0,2.0,18.0,1.0,15.0,9.0,13.0,33.0,35.0,17.0,4.0,16.0,23.0
CZ020,Středočeský kraj,0–19,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,2.0
CZ020,Středočeský kraj,20–44,1.0,2.0,,,1.0,2.0,,,,,,,,,1.0,3.0,,,,,,1.0,,,1.0,4.0,,,1.0,
CZ020,Středočeský kraj,45–64,2.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,,1.0,1.0,4.0,2.0,,5.0,,1.0,6.0,,10.0,5.0,2.0,,2.0,3.0
CZ020,Středočeský kraj,65–74,,,3.0,,,1.0,3.0,2.0,,,,,,,,,2.0,1.0,,6.0,,1.0,1.0,2.0,13.0,9.0,5.0,,4.0,2.0
CZ020,Středočeský kraj,75–84,11.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,,5.0,,3.0,,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,6.0,1.0,4.0,6.0,13.0,4.0,4.0,6.0,7.0
CZ020,Středočeský kraj,85+,1.0,2.0,1.0,1.0,1.0,3.0,9.0,2.0,,4.0,,4.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,1.0,6.0,1.0,6.0,3.0,4.0,6.0,,3.0,9.0
CZ042,Ústecký kraj,Celá populace,3.0,11.0,5.0,14.0,3.0,7.0,14.0,4.0,4.0,5.0,5.0,10.0,,8.0,5.0,6.0,5.0,9.0,3.0,9.0,2.0,8.0,7.0,5.0,14.0,20.0,3.0,4.0,21.0,24.0
CZ042,Ústecký kraj,0–19,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,
CZ042,Ústecký kraj,20–44,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,1.0,1.0,,,1.0
CZ042,Ústecký kraj,45–64,,,,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,6.0,1.0,1.0,,1.0,3.0,,3.0,6.0,,1.0,3.0,5.0
CZ042,Ústecký kraj,65–74,1.0,4.0,1.0,4.0,,,2.0,1.0,1.0,,1.0,2.0,,1.0,,,1.0,3.0,,4.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0
CZ042,Ústecký kraj,75–84,2.0,4.0,2.0,3.0,1.0,2.0,6.0,,1.0,1.0,3.0,5.0,,3.0,3.0,,,,1.0,4.0,,2.0,1.0,3.0,4.0,3.0,,,6.0,6.0
CZ042,Ústecký kraj,85+,,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,,1.0,,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,7.0,7.0
CZ072,Zlínský kraj,Celá populace,10.0,3.0,,,,,5.0,1.0,,1.0,2.0,3.0,,1.0,2.0,3.0,4.0,,2.0,7.0,,2.0,3.0,,6.0,10.0,4.0,1.0,4.0,8.0
CZ072,Zlínský kraj,20–44,3.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,1.0,
CZ072,Zlínský kraj,45–64,1.0,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,3.0,,,5.0,3.0,,,2.0
CZ072,Zlínský kraj,65–74,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,4.0,1.0,,,,1.0
CZ072,Zlínský kraj,75–84,2.0,1.0,,,,,1.0,,,,,2.0,,1.0,,,,,1.0,3.0,,1.0,,,2.0,3.0,,,1.0,2.0
CZ072,Zlínský kraj,85+,4.0,2.0,,,,,3.0,1.0,,1.0,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,3.0
