Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Královéhradecký kraj;85+;;0,0037;0,0008;0,0007;;0,0007;0,0041;;;;;;;0,0024;;0,0006;;0,0013;;0,0011;;0,0011;;0,0015;0,0054;;0,0026;;0,0015;0,0021
Liberecký kraj;Celá populace;0,0009;0,0020;0,0002;0,0009;0,0009;0,0005;0,0013;;0,0002;0,0004;0,0002;;;0,0005;;0,0007;0,0021;0,0002;0,0009;0,0027;0,0002;0,0031;;0,0006;0,0036;0,0007;0,0010;0,0002;0,0010;0,0042
Liberecký kraj;0–19;;;;;;;;;;;;;;;;;;;;0,0333;;;;;0,0286;0,0345;;;;
Liberecký kraj;20–44;;;;;;;;;;;0,0060;;;;;0,0071;;;;;;;;;;;;;0,0081;0,0071
Liberecký kraj;45–64;;;0,0011;;;0,0011;0,0010;;;;;;;;;0,0011;0,0011;;;0,0012;0,0013;;;0,0015;0,0016;;0,0015;;;0,0055
Liberecký kraj;65–74;0,0008;0,0024;;;;;;;;;;;;0,0012;;;;;;0,0030;;0,0034;;;0,0016;0,0008;0,0015;0,0006;;0,0035
Liberecký kraj;75–84;0,0007;0,0008;;0,0015;0,0008;0,0008;0,0015;;0,0007;0,0006;;;;0,0007;;;0,0015;;0,0016;0,0016;;0,0058;;;0,0080;0,0008;0,0013;;0,0019;0,0043
Liberecký kraj;85+;0,0025;0,0062;;0,0023;0,0034;;0,0033;;;0,0013;;;;;;0,0010;0,0060;0,0009;0,0017;0,0041;;0,0023;;0,0014;0,0021;;;;0,0007;0,0039
Moravskoslezský kraj;Celá populace;0,0009;0,0012;0,0004;0,0003;0,0005;0,0020;0,0019;0,0002;0,0008;0,0010;0,0006;0,0005;0,0007;0,0008;0,0008;0,0023;0,0016;0,0019;0,0012;0,0031;0,0015;0,0013;0,0027;0,0033;0,0023;0,0012;0,0009;;0,0002;0,0018
Moravskoslezský kraj;0–19;0,0040;0,0038;;;;0,0067;0,0065;;;;;;;;;;0,0133;;;;;;0,0128;;;;;;;
Moravskoslezský kraj;20–44;0,0027;0,0014;;;;0,0016;;;;;;;;0,0020;;0,0081;0,0044;0,0064;;0,0023;;;0,0078;;0,0051;0,0049;;;;0,0026
Moravskoslezský kraj;45–64;;0,0006;;0,0003;;0,0003;0,0010;;0,0003;0,0003;;0,0006;0,0007;;;0,0014;0,0003;0,0020;;0,0034;0,0004;0,0008;0,0025;0,0021;0,0040;0,0017;0,0012;;0,0004;0,0014
Moravskoslezský kraj;65–74;0,0005;0,0003;;;;0,0012;;;0,0003;0,0003;;0,0004;0,0004;0,0007;0,0007;0,0004;0,0007;0,0017;0,0007;0,0022;0,0006;0,0012;0,0022;0,0030;0,0015;0,0015;0,0018;;;0,0013
Moravskoslezský kraj;75–84;0,0017;0,0016;0,0012;0,0006;0,0003;0,0023;0,0028;0,0005;0,0007;0,0009;0,0009;0,0005;0,0005;0,0005;0,0010;0,0017;0,0018;0,0013;0,0016;0,0029;0,0005;0,0013;0,0022;0,0031;0,0028;0,0012;0,0008;;0,0002;0,0020
Moravskoslezský kraj;85+;0,0005;0,0023;0,0005;0,0005;0,0027;0,0047;0,0044;0,0004;0,0022;0,0037;0,0021;0,0005;0,0019;0,0022;0,0021;0,0050;0,0027;0,0024;0,0026;0,0041;0,0046;0,0017;0,0032;0,0051;0,0011;0,0003;0,0002;;0,0003;0,0023
Olomoucký kraj;Celá populace;0,0009;0,0027;0,0001;0,0001;0,0003;0,0009;0,0012;0,0002;0,0003;0,0002;;;0,0002;0,0002;0,0002;0,0003;0,0007;0,0008;0,0001;0,0004;0,0002;0,0011;0,0015;0,0010;0,0022;0,0009;0,0006;0,0001;0,0017;0,0017
Olomoucký kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;0,0244;;;;;;;
Olomoucký kraj;20–44;;0,0055;0,0030;;;;;;;;;;;;;;0,0077;0,0046;;;;;;;0,0047;;;;;
Olomoucký kraj;45–64;;;;;;0,0016;;;;;;;;;;0,0007;0,0008;;0,0008;;;0,0028;0,0019;0,0009;0,0020;0,0019;0,0009;;0,0010;0,0011
Olomoucký kraj;65–74;0,0011;0,0005;;;;0,0006;0,0006;;0,0007;;;;;0,0008;;;;;;0,0014;;0,0006;0,0026;;0,0033;0,0013;0,0011;;0,0006;0,0007
Olomoucký kraj;75–84;;0,0019;;0,0005;;0,0010;;0,0005;;0,0004;;;0,0005;;;;;;;0,0005;0,0005;0,0010;0,0016;0,0020;0,0025;0,0010;0,0004;0,0004;0,0013;0,0027
Olomoucký kraj;85+;0,0032;0,0087;;;0,0014;0,0007;0,0047;;0,0007;;;;;;0,0007;0,0006;0,0012;0,0024;;;;0,0010;;0,0009;0,0009;;0,0004;;0,0035;0,0020
Pardubický kraj;Celá populace;0,0009;0,0022;0,0009;0,0004;0,0002;0,0017;0,0006;0,0002;0,0004;;0,0002;0,0008;0,0002;0,0006;0,0010;0,0004;0,0008;0,0006;0,0006;0,0011;0,0006;0,0017;0,0013;0,0024;0,0054;0,0029;0,0008;;0,0021;0,0024
Pardubický kraj;0–19;;;;;;0,0161;;;;;;;;;;;;;;;;;;;;0,0435;;;;
Pardubický kraj;20–44;;;0,0048;;;;;;;;;;;;0,0071;;;;;;;;;;;;;;0,0075;
Pardubický kraj;45–64;;0,0030;;;;;;;;;;;;;;0,0011;0,0011;;;0,0012;0,0013;0,0025;0,0027;;0,0038;0,0042;;;;
Pardubický kraj;65–74;0,0006;0,0030;0,0007;;0,0007;0,0007;0,0008;;;;;;;;0,0010;;0,0010;;;0,0018;;;0,0008;0,0016;0,0047;0,0016;0,0007;;0,0008;0,0009
Pardubický kraj;75–84;0,0017;;0,0006;0,0007;;0,0025;;;0,0006;;0,0005;0,0016;0,0005;0,0005;;0,0006;;0,0016;0,0017;;0,0006;0,0012;;0,0020;0,0078;0,0049;0,0015;;0,0016;0,0022
Pardubický kraj;85+;0,0009;0,0042;0,0019;0,0009;;0,0025;0,0017;0,0009;0,0009;;;0,0010;;0,0019;0,0027;;0,0016;;;0,0019;0,0007;0,0030;0,0025;0,0046;0,0051;0,0011;0,0005;;0,0040;0,0048
Plzeňský kraj;Celá populace;0,0013;0,0001;0,0002;0,0006;0,0003;0,0005;0,0025;0,0003;;;;0,0003;;;0,0005;0,0007;0,0003;0,0002;0,0003;0,0005;0,0002;0,0002;0,0007;0,0019;0,0024;0,0022;0,0016;0,0001;0,0007;0,0016
Plzeňský kraj;0–19;;;;;;;;;;;;;;;;;;;;0,0417;;;;;;;;;;
Plzeňský kraj;20–44;;;;;;;;;;;;;;;;;;0,0056;;0,0066;;;;;;0,0083;;;;0,0057
Plzeňský kraj;45–64;;;;;;;;;;;;;;;;0,0009;0,0010;;;;;;;;0,0022;0,0012;0,0012;0,0010;0,0012;
Plzeňský kraj;65–74;;;;;0,0006;;0,0007;;;;;;;;;;;;0,0008;;;;;0,0021;0,0032;0,0027;0,0018;;0,0020;0,0007
Plzeňský kraj;75–84;0,0033;0,0005;0,0005;0,0010;0,0005;0,0006;0,0044;;;;;0,0004;;;0,0010;0,0010;;;;;;;0,0005;0,0016;0,0034;0,0015;0,0009;;0,0004;0,0015
Plzeňský kraj;85+;0,0019;;;0,0017;;0,0016;0,0047;0,0017;;;;0,0010;;;0,0008;0,0008;0,0007;;0,0006;0,0006;0,0006;0,0006;0,0017;0,0032;0,0011;0,0026;0,0024;;;0,0028
Středočeský kraj;Celá populace;0,0011;0,0006;0,0005;0,0003;0,0004;0,0006;0,0015;0,0004;;0,0008;;0,0006;0,0001;0,0003;0,0006;0,0006;0,0006;0,0008;0,0002;0,0014;0,0001;0,0011;0,0007;0,0010;0,0024;0,0026;0,0011;0,0002;0,0011;0,0017
Středočeský kraj;0–19;;;0,0072;;;;;;;;;;;;;;;0,0125;;;;;;0,0133;;;;;;0,0278
Středočeský kraj;20–44;0,0016;0,0036;;;0,0021;0,0043;;;;;;;;;0,0023;0,0074;;;;;;0,0026;;;0,0024;0,0116;;;0,0028;
Středočeský kraj;45–64;0,0007;;;0,0004;0,0004;;0,0008;;;0,0004;;0,0004;;;0,0004;0,0004;0,0017;0,0009;;0,0023;;0,0005;0,0032;;0,0053;0,0027;0,0010;;0,0011;0,0016
Středočeský kraj;65–74;;;0,0008;;;0,0003;0,0009;0,0007;;;;;;;;;0,0008;0,0004;;0,0020;;0,0003;0,0003;0,0006;0,0038;0,0026;0,0013;;0,0012;0,0007
Středočeský kraj;75–84;0,0027;0,0012;0,0005;0,0005;0,0006;0,0005;0,0013;0,0003;;0,0011;;0,0006;;0,0007;0,0007;0,0005;0,0005;0,0010;0,0003;0,0010;;0,0016;0,0003;0,0011;0,0016;0,0034;0,0009;0,0008;0,0013;0,0015
Středočeský kraj;85+;0,0004;0,0007;0,0004;0,0004;0,0004;0,0011;0,0032;0,0007;;0,0017;;0,0017;0,0004;0,0004;0,0008;0,0007;;0,0006;0,0003;0,0009;0,0003;0,0016;0,0003;0,0016;0,0007;0,0010;0,0013;;0,0007;0,0023
Ústecký kraj;Celá populace;0,0003;0,0012;0,0006;0,0016;0,0003;0,0008;0,0016;0,0005;0,0004;0,0005;0,0006;0,0011;;0,0009;0,0006;0,0007;0,0006;0,0010;0,0003;0,0010;0,0002;0,0009;0,0008;0,0005;0,0015;0,0022;0,0003;0,0003;0,0021;0,0025
Ústecký kraj;0–19;;;;;;;;;;;;;;0,0106;;;;;;;;0,0303;;;;;;;;
Ústecký kraj;20–44;;;;0,0022;;0,0028;0,0026;;;;;;;0,0027;0,0030;0,0093;;;;;;;;;0,0035;0,0034;0,0034;;;0,0041
Ústecký kraj;45–64;;;;0,0010;;0,0005;0,0005;0,0005;;0,0005;;;;0,0005;0,0005;0,0009;0,0005;0,0029;0,0005;0,0005;;0,0006;0,0019;;0,0019;0,0041;;0,0005;0,0021;0,0036
Ústecký kraj;65–74;0,0004;0,0014;0,0004;0,0016;;;0,0009;0,0005;0,0005;;0,0005;0,0010;;0,0006;;;0,0005;0,0015;;0,0018;0,0004;0,0004;0,0008;0,0004;0,0011;0,0015;0,0003;0,0003;0,0019;0,0020
Ústecký kraj;75–84;0,0008;0,0016;0,0008;0,0012;0,0004;0,0008;0,0023;;0,0003;0,0003;0,0010;0,0016;;0,0011;0,0010;;;;0,0004;0,0015;;0,0008;0,0004;0,0012;0,0016;0,0011;;;0,0019;0,0018
Ústecký kraj;85+;;0,0025;0,0016;0,0030;0,0014;0,0020;0,0027;0,0014;0,0014;0,0023;0,0008;0,0023;;0,0007;;0,0006;0,0017;;0,0005;;0,0005;0,0009;0,0005;0,0005;0,0014;0,0028;0,0004;0,0008;0,0031;0,0034
Zlínský kraj;Celá populace;0,0015;0,0005;;;;;0,0008;0,0002;;0,0002;0,0003;0,0005;;0,0002;0,0003;0,0005;0,0007;;0,0003;0,0011;;0,0003;0,0005;;0,0009;0,0016;0,0005;0,0001;0,0006;0,0013
Zlínský kraj;20–44;0,0103;;;;;;;;;;;;;;0,0043;0,0135;;;;;;;;;;;;;0,0064;
Zlínský kraj;45–64;0,0008;;;;;;;;;;;;;;0,0008;;0,0008;;;0,0019;;;0,0031;;;0,0054;0,0029;;;0,0024
Zlínský kraj;65–74;;;;;;;0,0007;;;;0,0008;;;;;;0,0009;;;0,0008;;0,0008;;;0,0029;0,0007;;;;0,0008
Zlínský kraj;75–84;0,0010;0,0005;;;;;0,0006;;;;;0,0009;;0,0005;;;;;0,0005;0,0015;;0,0005;;;0,0011;0,0017;;;0,0005;0,0010
Zlínský kraj;85+;0,0036;0,0016;;;;;0,0022;0,0008;;0,0008;0,0009;0,0008;;;;;0,0014;;0,0006;0,0005;;;;;;0,0005;0,0004;0,0004;0,0009;0,0015
